<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.11	11:37:00	1.09414	1.09423	1.09410	1.09413	89	0	1
2024.03.11	11:38:00	1.09412	1.09413	1.09403	1.09406	75	0	1
2024.03.11	11:39:00	1.09406	1.09413	1.09402	1.09408	68	0	1
2024.03.11	11:40:00	1.09407	1.09412	1.09404	1.09407	69	0	1
2024.03.11	11:41:00	1.09406	1.09418	1.09405	1.09411	48	0	1
2024.03.11	11:42:00	1.09411	1.09417	1.09408	1.09409	53	0	1
2024.03.11	11:43:00	1.09408	1.09410	1.09400	1.09403	57	0	1
2024.03.11	11:44:00	1.09404	1.09410	1.09402	1.09408	37	0	1
2024.03.11	11:45:00	1.09407	1.09416	1.09403	1.09408	67	0	1
2024.03.11	11:46:00	1.09408	1.09408	1.09393	1.09402	84	0	1
2024.03.11	11:47:00	1.09402	1.09403	1.09376	1.09377	132	0	1
2024.03.11	11:48:00	1.09377	1.09382	1.09368	1.09381	168	0	1
2024.03.11	11:49:00	1.09382	1.09383	1.09369	1.09370	139	0	1
2024.03.11	11:50:00	1.09373	1.09379	1.09364	1.09364	132	0	1
2024.03.11	11:51:00	1.09364	1.09391	1.09363	1.09389	105	0	1
2024.03.11	11:52:00	1.09388	1.09390	1.09368	1.09376	113	0	1
2024.03.11	11:53:00	1.09375	1.09384	1.09372	1.09382	68	0	1
2024.03.11	11:54:00	1.09382	1.09386	1.09375	1.09376	73	0	1
2024.03.11	11:55:00	1.09376	1.09378	1.09354	1.09358	139	0	1
2024.03.11	11:56:00	1.09357	1.09360	1.09350	1.09354	106	0	1
2024.03.11	11:57:00	1.09355	1.09355	1.09344	1.09351	129	0	1
2024.03.11	11:58:00	1.09353	1.09359	1.09347	1.09351	96	0	1
2024.03.11	11:59:00	1.09351	1.09353	1.09337	1.09346	113	0	1
2024.03.11	12:00:00	1.09346	1.09357	1.09342	1.09350	131	0	1
2024.03.11	12:01:00	1.09351	1.09353	1.09333	1.09335	86	0	1
2024.03.11	12:02:00	1.09337	1.09344	1.09328	1.09340	110	0	1
2024.03.11	12:03:00	1.09342	1.09349	1.09333	1.09343	120	0	1
2024.03.11	12:04:00	1.09343	1.09344	1.09332	1.09337	91	0	1
2024.03.11	12:05:00	1.09335	1.09351	1.09333	1.09346	109	0	1
2024.03.11	12:06:00	1.09347	1.09363	1.09343	1.09363	108	0	1
2024.03.11	12:07:00	1.09363	1.09364	1.09350	1.09359	108	0	1
2024.03.11	12:08:00	1.09360	1.09366	1.09355	1.09358	83	0	1
2024.03.11	12:09:00	1.09358	1.09364	1.09356	1.09364	52	0	1
2024.03.11	12:10:00	1.09362	1.09367	1.09360	1.09364	50	0	1
2024.03.11	12:11:00	1.09364	1.09375	1.09362	1.09374	85	0	1
